CID,Title,MolecularFormula,InChIKey,InChI,ExactMass,XLogP,TPSA,SMILES
72281,Hesperetin,C16H14O6,AIONOLUJZLIMTK-AWEZNQCLSA-N,"InChI=1S/C16H14O6/c1-21-13-3-2-8(4-10(13)18)14-7-12(20)16-11(19)5-9(17)6-15(16)22-14/h2-6,14,17-19H,7H2,1H3/t14-/m0/s1",302.07903816,2.4,96.2,COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O
147394,Hesperetin 7-O-glucoside,C22H24O11,ADSYMQORONDIDD-ZJHVPRRPSA-N,"InChI=1S/C22H24O11/c1-30-14-3-2-9(4-11(14)24)15-7-13(26)18-12(25)5-10(6-16(18)32-15)31-22-21(29)20(28)19(27)17(8-23)33-22/h2-6,15,17,19-25,27-29H,7-8H2,1H3/t15-,17+,19+,20-,21+,22+/m0/s1",464.13186158,0.6,175,COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O
5484006,Isoquercitrin,C21H20O12,OPJZLUXFQFQYAI-GNPVFZCLSA-N,"InChI=1S/C21H20O12/c22-6-12(27)19-16(29)17(30)21(32-19)33-20-15(28)14-11(26)4-8(23)5-13(14)31-18(20)7-1-2-9(24)10(25)3-7/h1-5,12,16-17,19,21-27,29-30H,6H2/t12-,16-,17-,19-,21+/m1/s1",464.09547607,0.4,207,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H](O4)[C@@H](CO)O)O)O)O)O
5281654,Isorhamnetin,C16H12O7,IZQSVPBOUDKVDZ-UHFFFAOYSA-N,"InChI=1S/C16H12O7/c1-22-11-4-7(2-3-9(11)18)16-15(21)14(20)13-10(19)5-8(17)6-12(13)23-16/h2-6,17-19,21H,1H3",316.05830272,1.9,116,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O
11664505,Isorhamnetin 3-O-neohesperidoside,C28H32O16,QHLKSZBFIJJREC-SPSUIZEHSA-N,"InChI=1S/C28H32O16/c1-9-18(33)21(36)23(38)27(40-9)44-26-22(37)19(34)16(8-29)42-28(26)43-25-20(35)17-13(32)6-11(30)7-15(17)41-24(25)10-3-4-12(31)14(5-10)39-2/h3-7,9,16,18-19,21-23,26-34,36-38H,8H2,1-2H3/t9-,16+,18-,19+,21+,22-,23+,26+,27-,28-/m0/s1",624.16903493,-0.4,255,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)CO)O)O)O)O)O
5318645,Isorhamnetin 3-O-glucoside,C22H22O12,CQLRUIIRRZYHHS-LFXZADKFSA-N,"InChI=1S/C22H22O12/c1-31-12-4-8(2-3-10(12)25)20-21(17(28)15-11(26)5-9(24)6-13(15)32-20)34-22-19(30)18(29)16(27)14(7-23)33-22/h2-6,14,16,18-19,22-27,29-30H,7H2,1H3/t14-,16-,18+,19-,22+/m1/s1",478.11112613,0.7,196,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O
9851181,Isorhoifolin,C27H30O14,FKIYLTVJPDLUDL-SLNHTJRHSA-N,"InChI=1S/C27H30O14/c1-10-20(31)22(33)24(35)26(38-10)37-9-18-21(32)23(34)25(36)27(41-18)39-13-6-14(29)19-15(30)8-16(40-17(19)7-13)11-2-4-12(28)5-3-11/h2-8,10,18,20-29,31-36H,9H2,1H3/t10-,18+,20-,21+,22+,23-,24+,25+,26+,27+/m0/s1",578.16355563,-0.8,225,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)O)O)O)O)O)O
162350,Isovitexin,C21H20O10,MYXNWGACZJSMBT-VJXVFPJBSA-N,"InChI=1S/C21H20O10/c22-7-14-17(26)19(28)20(29)21(31-14)16-11(25)6-13-15(18(16)27)10(24)5-12(30-13)8-1-3-9(23)4-2-8/h1-6,14,17,19-23,25-29H,7H2/t14-,17-,19+,20-,21+/m1/s1",432.10564683,0.2,177,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O
5486199,Kaempferitrin,C27H30O14,PUPKKEQDLNREIM-QNSQPKOQSA-N,"InChI=1S/C27H30O14/c1-9-17(30)20(33)22(35)26(37-9)39-13-7-14(29)16-15(8-13)40-24(11-3-5-12(28)6-4-11)25(19(16)32)41-27-23(36)21(34)18(31)10(2)38-27/h3-10,17-18,20-23,26-31,33-36H,1-2H3/t9-,10-,17-,18-,20+,21+,22+,23+,26-,27-/m0/s1",578.16355563,-0.1,225,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=CC(=C3C(=C2)OC(=C(C3=O)O[C@H]4[C@@H]([C@@H]([C@H]([C@@H](O4)C)O)O)O)C5=CC=C(C=C5)O)O)O)O)O
5280863,Kaempferol,C15H10O6,IYRMWMYZSQPJKC-UHFFFAOYSA-N,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",286.04773803,1.9,107,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O
5318759,Kaempferol 3-O-glucuronide,C21H18O12,FNTJVYCFNVUBOL-ZUGPOPFOSA-N,"InChI=1S/C21H18O12/c22-8-3-1-7(2-4-8)17-18(13(25)12-10(24)5-9(23)6-11(12)31-17)32-21-16(28)14(26)15(27)19(33-21)20(29)30/h1-6,14-16,19,21-24,26-28H,(H,29,30)/t14-,15-,16+,19-,21+/m0/s1",462.07982601,1,203,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O
5483905,Kaempferol 7-O-neohesperidoside,C27H30O15,ZEJXENDZTYVXDP-CSJHBIPPSA-N,"InChI=1S/C27H30O15/c1-9-17(31)20(34)23(37)26(38-9)42-25-21(35)18(32)15(8-28)41-27(25)39-12-6-13(30)16-14(7-12)40-24(22(36)19(16)33)10-2-4-11(29)5-3-10/h2-7,9,15,17-18,20-21,23,25-32,34-37H,8H2,1H3/t9-,15+,17-,18+,20+,21-,23+,25+,26-,27+/m0/s1",594.15847025,-0.4,245,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=C3)OC(=C(C4=O)O)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O
10095180,kaempferol 7-O-glucoside,C21H20O11,YPWHZCPMOQGCDQ-HMGRVEAOSA-N,"InChI=1S/C21H20O11/c22-7-13-15(25)17(27)19(29)21(32-13)30-10-5-11(24)14-12(6-10)31-20(18(28)16(14)26)8-1-3-9(23)4-2-8/h1-6,13,15,17,19,21-25,27-29H,7H2/t13-,15-,17+,19-,21-/m1/s1",448.10056145,0.7,186,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O
10417462,Ligustroflavone,C33H40O18,NULBHTHMVOCGOE-ZBCCAYPVSA-N,"InChI=1S/C33H40O18/c1-11-22(37)25(40)28(43)31(46-11)45-10-20-24(39)27(42)30(51-32-29(44)26(41)23(38)12(2)47-32)33(50-20)48-15-7-16(35)21-17(36)9-18(49-19(21)8-15)13-3-5-14(34)6-4-13/h3-9,11-12,20,22-35,37-44H,10H2,1-2H3/t11-,12-,20+,22-,23-,24+,25+,26+,27-,28+,29+,30+,31+,32-,33+/m0/s1",724.22146442,-1.9,284,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)O[C@H]6[C@@H]([C@@H]([C@H]([C@@H](O6)C)O)O)O)O)O)O)O)O
5280445,Luteolin,C15H10O6,IQPNAANSBPBGFQ-UHFFFAOYSA-N,"InChI=1S/C15H10O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-6,16-19H",286.04773803,1.4,107,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O
5280601,Luteolin 7-glucuronide,C21H18O12,VSUOKLTVXQRUSG-ZFORQUDYSA-N,"InChI=1S/C21H18O12/c22-9-2-1-7(3-10(9)23)13-6-12(25)15-11(24)4-8(5-14(15)32-13)31-21-18(28)16(26)17(27)19(33-21)20(29)30/h1-6,16-19,21-24,26-28H,(H,29,30)/t16-,17-,18+,19-,21+/m0/s1",462.07982601,0.8,203,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O)O
10461109,Scolymoside,C27H30O15,MGYBYJXAXUBTQF-FOBVWLSUSA-N,"InChI=1S/C27H30O15/c1-9-20(32)22(34)24(36)26(39-9)38-8-18-21(33)23(35)25(37)27(42-18)40-11-5-14(30)19-15(31)7-16(41-17(19)6-11)10-2-3-12(28)13(29)4-10/h2-7,9,18,20-30,32-37H,8H2,1H3/t9-,18+,20-,21+,22+,23-,24+,25+,26+,27+/m0/s1",594.15847025,-1.1,245,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O)O
